									事业部-SoldItem周报																						
1463050159	173880720	Y	2014/8/22	Inbal Dror Paris Collection 2012 BR-12-11 Sexy Spaghetti Tulle Ruched/Appliques Backless Bridal Gown Wedding Dresses	0	0	1	Y	ff80808122f41dd60122f435443b3087	life_shop	N	N	ff8080814710c0ac01474d3fd8717864	cindykentkristen	Y	seo|||organic|google|https|www	End Consumer	Others	US	002	002001	002001004	002001004	Mermaid Wedding Dresses		199	1	1	199	199	199	
1463050254	180080228	N	2014/8/24	Bridal Wraps &amp; Jackets Lace Applique Bolero Ja...	0	0	1	Y	ff8080813c431cbc013c4c3dac454a09	lucklover	N	N	ff80808147aaf8490147d24a6f996080	Marz21	N		4	Others	US	002	002008	002008006	002008006	Bridal Wraps & Jackets		19.32	1	1	19.32	19.32	19.32	
1463061322	169352135	N	2014/8/24	Gorgeous Lace Sexy Bride Garter With Blue Bow Wedding Supplies Favors Free Shipping Wholesale	0	0	0	Y	ff8080813f5b1e3d013f5f4f8cca050d	lydiaqiu	N	N	ff80808147a151800147cdef6d544108	Mary Joy Cano	N	bm|00 DHgate Sitelink Wedding PS AW|23678861952|paid_search|adwords|dhgates wedding dresses|00 DHgate PS AW|DLL||www	End Consumer	Others	AU	002	002008	002008005	002008005	Bridal Garters	seo|||organic|google|https|www	7.5	1	1	7.5	7.5	7.5	
1463061926	175107799	N	2014/8/23	Hot Zuhair Murad V-Neck A-Line Cap Sleeve Chiffon Lace Beaded Coral/Silver/Lavender/Purple Bridesmaid Dresses Cheap In Stock Evening Dresses	0	0	1	N	ff808081384bf422013850f78ca1367e	blissbridal	N	N	ff8080813976a48301397b88e4445c07	zuhre	Y	bm|00%20DHgate%20b%20PS%20AW|9878393232|paid_search|adwords|dhgate%20wedding%20gowns|00%20DHgate%20PS%20AW|HC|Broad|	4	Others	CY	002	002113	002113002	002113002	Bridesmaid Dress	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate dress|00 DHgate PS AW|HC|c|Exact|	133.25	1	1	88.98	88.98	133.25	
1463063856	188316649	N	2014/8/21	Morning Style Navy Blue One Button Groom Tuxedos Best Man Peak Lapel Groomsmen Men Wedding Suits Bridegroom (Jacket+Pants+Tie+Vest)	0	0	1	N	ff8080813fe66e82014006c0afe9275c	handsome_dresses	N	N	ff80808147a0685c0147bbc48de957a3	Ujor	Y		End Consumer	Others	NG	002	002007	002007001	002007001	Groom Tuxedos	seo|||organic|google|https|www	139.2	1	1	101.25	101.25	139.2	
1463063889	165796807	Y	2014/8/21	Party Favours Lots Paperboard White Blue Continental Personalized Ring Diamond Wedding Candy Boxes	0	0	1	Y	ff8080813bdf34ec013bf17bb4df6c14	my_shop	N	N	ff80808147a068500147c47172c073b9	Optometrist	N	bm|00 Wholesale Product Tail m PS AW|42410889388|paid_search|adwords| wholesaler  sunglasses|00 Wholesale Product Tail PS AW|ZDA|Modifier|00|	Reseller	Others	ZA	002	002010	002010008	002010008	Favor Holders	bm|00 DHgate p PS AW|23678861472|paid_search|adwords|dh.gate|00 DHgate PS AW|ZDA|t|Phrase|	31	100	100	31	31	31	
1463066177	195845759	Y	2014/8/25	dresses extra for plus size rush time change style extra fabric accessery	0	0	1	Y	ff8080811f45796a011f50e27d8d01c6	bestoffers	N	N	ff8080812d3be0b4012d5bd859430dc5	Amal	N	bm|14080800 Wedding Dresses Online PS AW|7433077408|paid_search|adwords|wedding dress online||WJY	End Consumer	Others	LB	002	002114	002114002	002114002	Girl's Pageant Dresses		76	1	1	76	76	76	
1463074070	200321096	N	2014/8/25	Frozen elsa Queen's crown cosplay Coronation crown Headdress tiara gold yellow 11*6cm	0	0	1	Y	ff808081405d7084014071160efc1226	jovdress	N	N	ff808081402faa07014030a998731c61	Tatiana77	N	seo|||organic|google|https|www	Reseller	Others	CA	002	002008	002008003	002008003	Tiaras & Hair Accessories	seo|||organic|google|https|www	4.78	1	1	4.78	4.78	4.78	
1463080314	199325238	Y	2014/8/22	Free Gift 2014 Hot Sale Peacock Tail Designs Crystal Rhinestone Necklace Earrings Fashion Wedding Accessories	0	0	1	Y	ff80808146a2cd430146ea9929d45bcf	river2014	N	N	ff80808135ec748f013604ddadf501fd	Beth	N	txd|organic|bing|wholesale sequin dresses	Reseller	Others	US	002	002008	002008013	002008013	Bridal Jewelry	bm|00 DHgate e PS MAC|3083680857|paid_search|adcenter|dhgate com|00 DHgate PS MAC|bing||00|	27.3	3	3	27.3	27.3	27.3	
1463080317	182591035	Y	2014/8/22	2014 Sexy Pageant Dresses Peacock Feather One Shoulder Side Slit Backless Mermaid Prom Dresses Formal Evening Gowns with Ruffles P14366	0	0	1	Y	ff8080812c3058a0012c53aad8922ad1	wholesalefactory	N	N	ff80808135ec748f013604ddadf501fd	Beth	N	txd|organic|bing|wholesale sequin dresses	Reseller	Others	US	002	002009	002009174	002009174	Pageant Dresses	bm|00 DHgate e PS MAC|3083680857|paid_search|adcenter|dhgate com|00 DHgate PS MAC|bing||00|	173.71	1	1	173.71	173.71	173.71	
1463080319	182251985	N	2014/8/22	2014 NEW Sexy Red Chiffon Homecoming Dresses Sweetheart Pleated Beaded Sleeveless Short Mini Prom Dresses Backless Party Cocktail Gowns	0	0	1	Y	ff8080812e32cde8012e56766b9646ef	dress_beautiful	N	N	ff80808135ec748f013604ddadf501fd	Beth	N	txd|organic|bing|wholesale sequin dresses	Reseller	Others	US	002	002009	002009006	002009006	Homecoming Dresses	bm|00 DHgate e PS MAC|3083680857|paid_search|adcenter|dhgate com|00 DHgate PS MAC|bing||00|	49	1	1	49	49	49	
1463080322	191222706	N	2014/8/22	Cute Sweetheart Strapless Short Graduation Dresses Beading Bodice Cocktail Dresses Cheap Homecoming Dresses With Feathers 2014 New Arrival	0	0	1	Y	ff80808142554eaa0142738937c916b2	bridelee	N	N	ff80808135ec748f013604ddadf501fd	Beth	N	txd|organic|bing|wholesale sequin dresses	Reseller	Others	US	002	002009	002009006	002009006	Homecoming Dresses	bm|00 DHgate e PS MAC|3083680857|paid_search|adcenter|dhgate com|00 DHgate PS MAC|bing||00|	401.73	3	3	401.73	401.73	401.73	
1463087755	155258519	Y	2014/8/21	Short Sleeve Lace Jacket Strapless Mermaid Court Train Lace wedding dress Lovely Purple Sash AG190	0	0	1	Y	ff808081362ea3c50136331b314d2655	bridal_mall	N	N	ff80808147a1518b0147a897d1203193	mikau	N	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	US	002	002001	002001004	002001004	Mermaid Wedding Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|www dhgate com|00 DHgate PS AW|HC|c|Exact|	190.91	1	1	190.91	190.91	190.91	
1463091073	178414689	Y	2014/8/21	New 2014 Zuhair Murad Kristen Stewart Sheer Long Sleeve Evening Dresses Embroidery Sequins Floral Red Carpet Lace Celebrity Prom Dresses	0	0	0	Y	ff8080813dc38e50013dc5c8a694222e	oriental_bride	N	N	ff80808147a0684f0147d16151b43115	Lisacourey	N	seo|||organic|google||www	End Consumer	Others	US	002	002009	002009001	002009001	Evening Dresses	seo|||organic|google||www	217	1	1	217	217	217	
1463091074	179554781	N	2014/8/21	Custom made 2014 New Evening Gown Long Sleeves High Neck Embroidery Selena Gomez Long Black Celebrity Dresses Formal Dresses	0	0	1	Y	ff808081316548ce01316939a8b021c0	elegantdresses	N	N	ff80808147a0684f0147d16151b43115	Lisacourey	N	seo|||organic|google||www	End Consumer	Others	US	002	002009	002009003	002009003	Celebrity Dresses	seo|||organic|google||www	124.37	1	1	124.37	124.37	124.37	
1463101679	168376299	N	2014/8/21	Laser cutting Butterfly place card,Beautiful Butterfly Wedding wine glass Escort cards100pcs/lot BKHD001	0	0	0	Y	ff8080813bdf32d3013be297c25924ee	abby17y	N	N	ff80808147a068500147d7cf1a2e372f	nathanielrobinson	Y	seo|||organic|google|https|www	End Consumer	Others	US	002	002010	002010164	002010164	Wedding Invitations	seo|||organic|google|https|www	20.46	1	100	20.46	20.46	20.46	
1463106831	142734304	N	2014/8/21	Free shipping 6-HOOP White Petticoat Wedding Gown Crinoline Petticoat Skirt Slip /3-HOOP	0	0	1	Y	ff80808132a53f700132b960d49864f4	orient2012	N	N	ff80808147a0685c0147d8e0d3ee4f30	simplymahmoud	N		End Consumer	Others	LB	002	002008	002008004	002008004	Petticoats	bm|aff|cj|2476885	19.87	1	1	19.87	19.87	19.87	
1463108430	197022338	N	2014/8/21	2014 New Elegant Red Carpet Miss Nigeria Gorgeous Green Lace Celebrity Dresses Sheer Scoop Long Sleeves Trumpet Mermaid Evening Formal Gowns	0	0	1	Y	ff8080813a06bcdc013a209c788823d4	olesa	N	N	ff808081419c45cc0141bf11908b79eb	Doryanah1108	N	seo|||organic|google|https|pt	4	Others	PT	002	002009	002009001	002009001	Evening Dresses	bm|aff|cj|2025874	133.19	1	1	133.19	133.19	133.19	
1463108729	163153121	N	2014/8/27	Pregnant bride dress Bridesmaid dress Wedding Lace Dress short dinner evening gown champagne white red color SD048	0	0	0	N	ff808081126e23660112714d245000c7	greitshop	N	N	ff8080814767df9a0147868048bb37a0	Dzashe	N	bm|00 DHgate e UK PS MAC|1037175888|paid_search|adcenter|ghgate|00 DHgate UK PS MAC|Bing||00|	End Consumer	Others	ZW	002	002113	002113001	002113001	Junior Bridesmaid Dresses	seo|||brand|google|http://www.dhgate.com/usr/accconfirm.do?systemuserid=ff8080814767df9a0147868048bc37a1&uniqueid=f7cfa2c7265183ada49ba8f5e42cb3d59155498d53390ff83bcb715e636f7afd&signinid=43ad2768482e21beea00c4db44b9d550487fcd855f9d1ee0f5adf51e4f4980c5839e717753b00092	141.48	5	5	118.75	118.75	141.48	
1463114473	180683616	N	2014/8/24	2014 New Arrival Mint Prom Dresses Under 100 A Line Chiffon Bridesmaid Dresses Cheap Pleats Mix order 3 style Brides Maid Dresses	0	0	1	Y	ff8080813b92ccc0013bc05690bd13f8	bridefashion	N	N	ff80808147a068540147da4468eb64d0	Toya2003	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgates|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	US	002	002113	002113002	002113002	Bridesmaid Dress	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgates|00 DHgate PS AW|HC|c|Exact|	89	1	1	89	89	89	
1463124978	201412477	N	2014/8/22	Hot Sales Custom Made Backless Wedding Dresses Sexy Side Split V-Neck Empire Chiffon Long Sleeve Bridal Gowns	0	0	1	Y	ff80808147102e8d014756ca6a545fd9	kiss_dress	N	N	ff80808147a1518b0147db869fc66504	Fluphy1234	N	seo|||organic|google|https|www	End Consumer	Others	CA	002	002001	002001005	002001005	Empire Wedding Dresses	seo|||organic|google|https|www	46.54	1	1	46.54	46.54	46.54	
1463127301	202322393	Y	2014/8/27	LJ 2014 Relaxing V-Neck Backless Ankel_length Prom Evening Dress	0	0	0	Y	ff80808147579e1801477aea4e282cd4	xbc_facotry	N	N	ff8080811895f45c011896b8c0133292	D. K. Boateng	N			Others	UK	002	002009	002009002	002009002	Prom Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	68.19	3	3	68.19	68.19	68.19	
1463130805	179676274	N	2014/8/23	Elie Saab 2014 Prom Dresses Ball Gown Backless Tay...	0	0	1	Y	ff80808137e9d8a701383caa24346cbe	seewedding	N	N	ff80808147aaf84c0147dc3f0d660b99	Dibstyle21	N	seo|||organic|google||m.dhgate.com	4	Others	US	002	002009	002009001	002009001	Evening Dresses	seo|||organic|google||m.dhgate.com	157.5	1	1	157.5	157.5	157.5	
1463144082	137453115	N	2014/8/23	Custom Made Slim Fit Two Buttons Light Grey Groom Tuxedos Notch Lapel Best Man Groomsmen Men Wedding Suits (Jacket+Pants+Tie+Vest) AA:01	0	0	1	Y	ff8080811b2ae53c011b2d6f913c2949	finished123	N	N	ff80808147a0685c0147dd31b16f27b3	Megra0409	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	End Consumer	Others	AU	002	002007	002007001	002007001	Groom Tuxedos	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	93.3	1	1	93.3	93.3	93.3	
1463148453	196561347	N	2014/8/21	2014 Fancy Design A-Line Wedding Dresses Scoop Cap...	0	0	0	N	ff808081467f626f014698bf49fc2105	tianziyishang2	N	N	ff80808139bee9920139c14e42e74606	nnii	N		End Consumer	Others	NG	002	002001	002001001	002001001	A-Line Wedding Dresses		223.43	1	1	195.46	195.46	223.43	
1463153422	178981648	N	2014/8/23	2014 Mermaid Petticoat/slip 1 Hoop Bone Elastic Wedding Dress Crinoline Trumpet	0	0	1	Y	ff80808142554eaa01432cc780e83a68	dresslee	N	N	ff8080814767df9a01477e0eee58019a	damilola157	N	seo|||organic|google|https	End Consumer	Others	UK	002	002008	002008004	002008004	Petticoats	seo|||organic|google|https	13.7	1	1	13.7	13.7	13.7	
1463154664	182471320	Y	2014/8/22	2014 Berta Deep V Neck Lace And Satin Pearls Hollow Long Sleeves Fitted Fish Style Wedding Dresses Backless Chapel Train Bridal Gown BRI-288	0	0	1	N	ff8080813b45ace7013b65729a37044f	ellabridal	N	N	ff80808147a155380147da3000284810	danieldz85	Y	seo|||organic|google|https	End Consumer	Others	DE	002	002001	002001004	002001004	Mermaid Wedding Dresses	seo|||organic|google|https	241.98	1	1	189	189	241.98	
1463157957	178416976	Y	2014/8/21	2014 new strapless beads crystals sheer Mermaid wedding gowns evening pageant bridal dress high quality 2013 hot free shipping	0	0	1	N	ff8080814159f1810141aaa877fd4e02	gaogao8899	N	N	ff8080814767e9710147683ba27c054f	samtex	Y	bm|00 DHgate e PS AW|25396030152|paid_search|adwords|www dhgate com|00 DHgate PS AW|HC|m|Exact|	End Consumer	Others	NG	002	002001	002001004	002001004	Mermaid Wedding Dresses	seo|||brand|google|www.dhgate .com|m.dhgate.com	233.26	1	1	188.61	188.61	233.26	
1463160366	185580658	N	2014/8/24	Berta Mermaid Plunging V-neck Sheer Long Sleeve Beading Backless Sweep Train Satin Sexy Bridal Gowns 2014 Vintage Wedding Dresses DL1311192	0	0	1	Y	ff80808142554eaa01426f6c0cde120a	weddingmuse	N	N	ff8080813ef46af8013f23fd9a4135e4	Ssmith0703	N		4	Others	US	002	002001	002001004	002001004	Mermaid Wedding Dresses	seo|||organic|google|	150.35	1	1	150.35	150.35	150.35	
1463163992	192649548	N	2014/8/23	Frozen elsa Queen's crown cosplay Coronation crown Headdress tiara gold yellow 11*6cm EVA	0	0	1	Y	ff8080811859ebd001185aed26ad3650	angel-angel	N	N	ff80808147a1518b0147e0367db8328e	Nicole Devine	N		End Consumer	Others	US	002	002008	002008003	002008003	Tiaras & Hair Accessories		12.05	1	1	12.05	12.05	12.05	
1463166629	174679452	N	2014/8/22	2014 New Silver Grey Bridesmaid Dresses Long Chiff...	0	0	1	Y	ff80808137e9d8a701383caa24346cbe	seewedding	N	N	ff80808147aaf84c0147e092128c55f3	Nora99	Y		4	Others	US	002	002113	002113002	002113002	Bridesmaid Dress		124.78	1	1	124.78	124.78	124.78	
1463168177	185593899	Y	2014/8/23	Real Image Crew Beaded Lace Knee Length Top Sheer Mother of the Bride Dress Free Shipping Charming Formal Evening Dress Custom Made	0	0	1	Y	ff80808138a2d15b0138c10a646b0a3e	missudress	N	N	ff8080814710c0ac014746688b260897	Nunez A	N	bm|002002001 A-Line Wedding Dresses||remarketing|Criteo||174259631|DC|||www	End Consumer	Others	US	002	002003	002003	002003	Mother of the Bride Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	134.1	1	1	134.1	134.1	134.1	
1463183491	159852236	N	2014/8/25	CUSTOM MADE MEN SUITS, TAILOR MADE DARK BLUE MEN'S WEDDING TUXEDOS FOR MEN, SLIM FIT BLUE MEN SUITS(Jacket+Pants+Tie+Pocket Square)13042402	0	0	0	Y	ff8080813119e40b01312911a62a15d4	sarawan	N	N	ff80808143cdfabd014405e8468b5fa0	Bruno10	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact||www	End Consumer	Others	AU	002	002007	002007001	002007001	Groom Tuxedos		476	4	4	442.28	442.28	476	
1463185494	195876619	N	2014/8/23	Vintage White Ivory Long Tulle Wedding Bridal Veil...	0	0	1	Y	ff808081467f64120146889a2e390b90	amgambridal	N	N	ff8080813bdb84de013c090aebf746bc	kittyroylance	Y	seo|||organic|google|cheap+birdcage+veil	4	Others	US	002	002008	002008002	002008002	Bridal Veils	seo|||organic|google|cheap%20christmas%20lights|www	22.73	1	1	22.73	22.73	22.73	
1463190241	141936983	N	2014/8/21	Free shipping .5*5*5cm Snowflake favor box .candy box.wedding favor box.Christmas gift boxes	0	0	0	Y	ff80808135bf10150135c1f94b7b1a27	cakeboxsale	N	N	ff8080814710c09d01474cb558ec620a	mrmd8	N	seo|seller||organic|google||help.dhgate.com	Reseller	Others	AU	002	002010	002010008	002010008	Favor Holders	seo|||organic|google|	13.64	1	50	13.64	13.64	13.64	
1463190341	182623915	Y	2014/8/23	Ronald Joyce 2014 Exquisite Bridesmaid Dress Collection Sweetheart V Neck Sleeveless Sheath Floor Length Chiffon Bridal Party Dresses	0	0	1	Y	ff8080813a06bcdc013a209c788823d4	olesa	N	N	ff80808147a151820147bdcd66bc6998	Tuanh	N	seo|||organic|google|https|www	End Consumer	Others	CA	002	002113	002113002	002113002	Bridesmaid Dress	seo|||organic|google|https|www	68	1	1	68	68	68	
1463194690	155158790	N	2014/8/26	Roman column road lead wedding plastic Roman column luminous road lead	一键达	0	1	Y	ff80808119077a3101190919f0747177	dalei178	N	N	ff8080813c240bef013c3fe55d59187d	lynso	N	bm|00 DHgate b PS MAC|1031854311|paid_search|adcenter|dhgates|00 DHgate PS MAC|bing||00|	Reseller	Others	US	002	002010	002010165	002010165	Wedding Decorations	clc|cart|cartedm20130725|edm|clc|20130725|product|pic3|www	250	1	4	284.1	284.1	250	
1463199790	201537122	Y	2014/8/27	Free Shipping 2014 NEW! Strapless Duchess Satin Fi...	一键达	0	1	Y	ff80808147102daf01472040f38d189f	weddinggirles	N	N	ff80808126d8ed7b0126df8980e44469	hippa_69	N	bm|13 Apple iPhones Misc PS AW|3606199318|paid_search|adwords|iphone 3g unlocked||WJY|2010_1_18	End Consumer	Others	PR	002	002001	002001001	002001001	A-Line Wedding Dresses		265.12	1	1	275.12	275.12	265.12	
1463203692	177580475	N	2014/8/25	Hot Sale New Fashion Sexy Beaded Custom Made Silve...	0	0	1	N	ff8080811f457b8c011f56709bc04543	babyonline	N	N	ff80808147ab16690147c7ea29e837a2	VitaCamp	Y		4	Others	US	002	002009	002009002	002009002	Prom Dresses	bm%7C00%20DHgate%20p%20PS%20MAC%7C1031855337%7Cpaid_search%7Cadcenter%7Cdhgate%20wedding%20dresses%7C00%20DHgate%20PS%20MAC%7Cbing%7C%7C00%7C|m.dhgate.com	93.01	1	1	55.96	55.96	93.01	
1463206459	154713267	N	2014/8/23	2013 One-Stopos Cheap Hot Strapless Crinkle Chiffon Dress with Godets Green Bridesmaid Dress F14865	0	0	1	Y	ff808081206c63eb01207fbc8aa35e26	one-stopos	N	N	ff80808146802f600146879aa454346f	saremmy	N	seo|||organic|google|https|www	End Consumer	Others	US	002	002113	002113002	002113002	Bridesmaid Dress		82.61	1	1	82.61	82.61	82.61	
